Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.06     58.30     0.04    18118     0.00     0.54  lv_draw_rect
  0.06     58.33     0.03    30065     0.00     0.00  lv_disp_get_hor_res
  0.05     58.37     0.03     5603     0.01     0.01  lv_img_decoder_built_in_info
  0.05     58.40     0.03    26295     0.00     0.00  lv_area_get_size
  0.05     58.43     0.03     4512     0.01     1.95  decode_and_draw
  0.05     58.46     0.03     9267     0.00     0.00  _lv_img_buf_get_transformed_area
  0.05     58.49     0.03    36651     0.00     0.00  lv_obj_has_flag_any
  0.05     58.52     0.03     9547     0.00     0.00  lv_obj_get_self_height
  0.05     58.55     0.03    24760     0.00     0.17  lv_draw_polygon
  0.05     58.58     0.03    22004     0.00     0.00  lv_area_set
  0.05     58.61     0.03    30048     0.00     0.00  lv_tick_get
  0.05     58.63     0.03    33936     0.00     0.00  _lv_ll_get_head
  0.04     58.66     0.03    10597     0.00     0.02  draw_scrollbar
  0.04     58.69     0.03    18118     0.00     0.00  draw_outline
  0.04     58.71     0.03    14571     0.00     0.15  lv_draw_sw_letter
  0.04     58.74     0.03     9758     0.00     0.01  lv_obj_get_scroll_left
  0.04     58.76     0.02    20003     0.00     0.00  lv_obj_get_coords
  0.04     58.78     0.02    19605     0.00     0.00  lv_disp_get_default
  0.04     58.81     0.02     5573     0.00     0.04  lv_obj_get_content_width
  0.04     58.83     0.02    11552     0.00     0.00  lv_img_src_get_type
  0.04     58.85     0.02    24918     0.00     0.00  lv_obj_get_width
  0.03     58.87     0.02     6876     0.00     0.01  lv_draw_mask_remove_custom
  0.03     58.89     0.02     6304     0.00     0.02  lv_obj_area_is_visible
  0.03     58.91     0.02    20414     0.00     0.00  lv_obj_get_height
  0.03     58.93     0.02    12414     0.00     0.00  lv_font_get_bitmap_fmt_txt
  0.03     58.95     0.02    10859     0.00     0.00  lv_obj_draw_dsc_init
  0.03     58.96     0.02      720     0.02    10.05  draw_buf_flush
  0.03     58.98     0.02     2933     0.01     0.01  lv_mem_realloc
  0.03     59.00     0.02    14876     0.00     0.00  lv_obj_get_screen
  0.03     59.02     0.02     2160     0.01    12.99  lv_refr_obj_and_children
  0.03     59.03     0.02     4151     0.00     2.07  lv_draw_img_decoded
  0.03     59.05     0.02     2509     0.01     0.02  _lv_inv_area
  0.03     59.07     0.02       32     0.52     0.55  _lv_obj_style_state_compare
  0.03     59.08     0.02     3026     0.01     0.05  lv_obj_init_draw_img_dsc
  0.03     59.10     0.02      836     0.02    45.97  _lv_disp_refr_timer
  0.03     59.11     0.02      720     0.02    50.86  lv_refr_area_part
  0.03     59.13     0.02    10513     0.00     0.00  lv_obj_get_scroll_x
  0.03     59.14     0.02     7916     0.00     0.02  lv_gradient_get
  0.03     59.16     0.02     1823     0.01     0.01  lv_slider_event
  0.03     59.17     0.02      720     0.02     1.80  lv_refr_get_top_obj
  0.02     59.19     0.01      150     0.10     1.74  draw_indic
  0.02     59.20     0.01      589     0.02     0.04  circ_calc_aa4
  0.02     59.22     0.01    12109     0.00     0.00  lv_obj_get_disp
  0.02     59.23     0.01    20784     0.00     0.00  lv_tick_elaps
  0.02     59.24     0.01     2731     0.01     0.03  lv_img_get_transformed_size
  0.02     59.26     0.01     1728     0.01     0.01  lv_mem_alloc
  0.02     59.27     0.01      320     0.04     5.77  layout_update_core
  0.02     59.29     0.01       12     1.17     1.56  lv_obj_fade_in
  0.02     59.30     0.01     8625     0.00     0.00  lv_indev_get_next
  0.02     59.31     0.01    14571     0.00     0.15  lv_draw_letter
  0.02     59.32     0.01    10665     0.00     0.00  lv_obj_get_scroll_y
  0.02     59.33     0.01     4609     0.00     1.91  lv_draw_img
  0.02     59.35     0.01    12414     0.00     0.00  lv_font_get_glyph_bitmap
  0.02     59.36     0.01     8178     0.00     0.00  lv_draw_mask_free_param
  0.02     59.37     0.01     3623     0.00     0.00  lv_point_within_circle
  0.02     59.38     0.01     1651     0.01     0.01  lv_palette_main
  0.02     59.39     0.01                             lv_style_is_empty
  0.02     59.40     0.01    31447     0.00     0.00  _lv_ll_get_next
  0.02     59.41     0.01     2840     0.00     0.07  lv_obj_get_content_coords
  0.02     59.42     0.01     1642     0.01     0.01  lv_draw_label_dsc_init
  0.02     59.43     0.01      844     0.01     0.06  lv_obj_calculate_ext_draw_size
  0.02     59.44     0.01     8625     0.00     0.00  lv_obj_get_scroll_dir
  0.02     59.45     0.01     4512     0.00     0.00  lv_img_decoder_built_in_open
  0.02     59.46     0.01     2396     0.00     0.00  get_next_line
  0.02     59.47     0.01      388     0.03     0.05  _vsnprintf
  0.02     59.48     0.01     4512     0.00     0.00  lv_img_decoder_built_in_close
  0.02     59.49     0.01     9414     0.00     0.00  lv_obj_get_self_width
  0.02     59.50     0.01     6304     0.00     0.03  lv_obj_invalidate_area
  0.02     59.51     0.01     3161     0.00     0.01  lv_obj_mark_layout_as_dirty
  0.02     59.52     0.01     2002     0.00    19.52  lv_timer_handler
  0.02     59.53     0.01      198     0.05     0.15  scrollbar_init_draw_dsc
  0.02     59.54     0.01     1991     0.00     0.00  lv_mem_free
  0.02     59.55     0.01      150     0.06     0.82  draw_knob
  0.02     59.56     0.01       10     0.90     1.52  lv_obj_clear_state
  0.02     59.57     0.01     2963     0.00     0.40  lv_imgbtn_event
  0.02     59.58     0.01     1091     0.01     0.02  lv_img_decoder_get_info
  0.01     59.58     0.01        2     4.25     4.25  lv_style_transition_dsc_init
  0.01     59.59     0.01     1642     0.00     0.10  lv_obj_init_draw_label_dsc
  0.01     59.60     0.01      342     0.02     1.01  lv_img_set_zoom
  0.01     59.61     0.01    11382     0.00     0.00  lv_obj_get_scroll_top
  0.01     59.62     0.01    10174     0.00     0.00  lv_obj_get_scrollbar_mode
  0.01     59.62     0.01     7029     0.00     0.00  lv_disp_get_scr_act
  0.01     59.63     0.01     1825     0.00     0.01  lv_bar_event
  0.01     59.64     0.01      295     0.03     3.95  draw_main
  0.01     59.65     0.01     4512     0.00     0.00  draw_cleanup
  0.01     59.65     0.01                             lv_obj_set_style_base_dir
  0.01     59.66     0.01      449     0.02     0.15  item_repos
  0.01     59.67     0.01     3240     0.00     0.00  apply_color_filter
  0.01     59.67     0.01      761     0.01     0.01  lv_clamp_height
  0.01     59.68     0.01     6790     0.00     0.00  lv_disp_get_dpi
  0.01     59.69     0.01     3170     0.00     0.00  lv_draw_img_dsc_init
  0.01     59.69     0.01     5718     0.00     0.04  lv_obj_invalidate
  0.01     59.70     0.01     1392     0.00     0.00  lv_disp_get_layer_top
  0.01     59.71     0.01      836     0.01     0.01  lv_mem_buf_free_all
  0.01     59.71     0.01      726     0.01     0.31  lv_obj_refr_pos
  0.01     59.72     0.01      325     0.02     0.51  lv_obj_move_to
  0.01     59.72     0.01      242     0.02     0.03  _lv_img_buf_transform_init
  0.01     59.73     0.01      187     0.03     0.15  _lv_txt_set_text_vfmt
  0.01     59.73     0.01     4754     0.00     0.00  lv_img_cf_has_alpha
  0.01     59.74     0.01     1440     0.00     0.00  lv_disp_get_draw_buf
  0.01     59.74     0.01     1236     0.00     0.01  lv_obj_scroll_to_x
  0.01     59.75     0.01      774     0.01     0.01  _ntoa_format
  0.01     59.75     0.01      130     0.04     0.48  theme_apply
  0.01     59.76     0.01                             lv_group_get_editing
  0.01     59.76     0.01                             unicode_list_compare
  0.01     59.77     0.00      679     0.01     0.52  calc_content_height
  0.01     59.77     0.00      131     0.03     0.03  lv_disp_get_theme
  0.01     59.78     0.00     4754     0.00     0.00  lv_img_cf_is_chroma_keyed
  0.01     59.78     0.00     1093     0.00     0.01  lv_style_set_prop
  0.01     59.79     0.00      824     0.00     0.03  lv_obj_refresh_ext_draw_size
  0.01     59.79     0.00      769     0.01     1.82  lv_obj_refr_size
  0.01     59.79     0.00      720     0.01    10.02  call_flush_cb
  0.01     59.80     0.00       75     0.05     0.32  calc_rows
  0.01     59.80     0.00       12     0.29     0.29  lv_obj_get_group
  0.01     59.80     0.00     4512     0.00     0.00  lv_img_decoder_close
  0.01     59.81     0.00     1976     0.00     0.00  lv_bar_get_mode
  0.01     59.81     0.00     1020     0.00     0.04  lv_obj_refresh_self_size
  0.01     59.81     0.00     9691     0.00     0.00  circ_next
  0.01     59.82     0.00     8332     0.00     4.69  lv_timer_exec
  0.01     59.82     0.00     2932     0.00     0.00  lv_disp_get_ver_res
  0.01     59.82     0.00     1642     0.00     0.00  lv_label_get_text_selection_start
  0.01     59.83     0.00     1131     0.00     0.55  lv_obj_refresh_style
  0.01     59.83     0.00      774     0.00     0.01  _ntoa_long
  0.01     59.83     0.00      406     0.01    90.20  lv_refr_area
  0.01     59.84     0.00      261     0.01     1.06  spectrum_anim_cb
  0.01     59.84     0.00      150     0.02     0.02  grid_align
  0.01     59.84     0.00      130     0.02     0.03  allocate_item
  0.01     59.84     0.00       28     0.11     1.78  lv_obj_align
  0.01     59.85     0.00                             lv_txt_unicode_to_utf8
  0.00     59.85     0.00     1528     0.00     0.00  lv_obj_get_child
  0.00     59.85     0.00      889     0.00     0.00  get_state
  0.00     59.85     0.00      836     0.00     0.01  _lv_draw_mask_cleanup
  0.00     59.86     0.00      286     0.01     0.01  lv_obj_move_children_by
  0.00     59.86     0.00      130     0.02     2.65  lv_obj_class_init_obj
  0.00     59.86     0.00       58     0.04     0.17  lv_img_set_src
  0.00     59.86     0.00       12     0.21     0.22  lv_style_remove_prop
  0.00     59.87     0.00        6     0.42     0.42  lv_area_set_height
  0.00     59.87     0.00        1     2.50     2.50  _lv_refr_init
  0.00     59.87     0.00                             map_set_px
  0.00     59.87     0.00                             shadow_draw_corner_buf
  0.00     59.88     0.00    12413     0.00     0.00  circ_cont
  0.00     59.88     0.00     4313     0.00     0.00  lv_obj_check_type
  0.00     59.88     0.00     2857     0.00     0.00  lv_anim_del
  0.00     59.88     0.00     2606     0.00     0.00  lv_obj_scroll_by_bounded
  0.00     59.88     0.00     1293     0.00     0.00  lv_disp_get_layer_sys
  0.00     59.89     0.00     1243     0.00     0.04  lv_obj_get_content_height
  0.00     59.89     0.00      836     0.00     0.00  _lv_font_clean_up_fmt_txt
  0.00     59.89     0.00      836     0.00    43.81  lv_refr_areas
  0.00     59.89     0.00      774     0.00     0.00  get_local_style
  0.00     59.89     0.00      592     0.00     0.00  lv_event_get_self_size_info
  0.00     59.90     0.00      545     0.00     0.52  calc_content_width
  0.00     59.90     0.00      489     0.00     0.00  _lv_area_is_on
  0.00     59.90     0.00      434     0.00     0.01  lv_anim_path_linear
  0.00     59.90     0.00      402     0.00     0.47  lv_obj_scrollbar_invalidate
  0.00     59.90     0.00      374     0.01     0.06  lv_vsnprintf
  0.00     59.91     0.00      250     0.01     0.01  lv_anim_path_bounce
